#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  263             5                           3
325                  288             5                           3             
350                  309             5                           3
375                  329             5                           3
400                  354             5                           3
425                  379             5                           3
450                  400             5                           3
475                  420             5                           3
500                  445             5                           3
640                  571             5                           3

