#X Ampl [mV]     # Y Trigger [mV]  #dxsigmaAmpl[mV]    #dy sigmaTrigger [mV]
300                  265             5                           3
325                  292             5                           3
350                  310             5                           3
375                  329             5                           3
400                  356             5                           3
425                  382             5                           3
450                  402             5                           3
475                  420             5                           3
500                  445             5                           3
633                  575             5                           3

